Iteracoes 11000000: pi ~= 3.141592562681, pi = 3.141592653590, diferenca absoluta = 9.090890529251e-08, tempo medio = 29.533029 ms (1 execucoes)
Iteracoes 11100000: pi ~= 3.141592563500, pi = 3.141592653590, diferenca absoluta = 9.008992574167e-08, tempo medio = 29.700079 ms (1 execucoes)
Iteracoes 11200000: pi ~= 3.141592564304, pi = 3.141592653590, diferenca absoluta = 8.928555628174e-08, tempo medio = 29.898065 ms (1 execucoes)
Iteracoes 11300000: pi ~= 3.141592565094, pi = 3.141592653590, diferenca absoluta = 8.849537325162e-08, tempo medio = 30.220438 ms (1 execucoes)
Iteracoes 11400000: pi ~= 3.141592565871, pi = 3.141592653590, diferenca absoluta = 8.771909465466e-08, tempo medio = 30.460798 ms (1 execucoes)
Iteracoes 11500000: pi ~= 3.141592566634, pi = 3.141592653590, diferenca absoluta = 8.695627640165e-08, tempo medio = 30.751611 ms (1 execucoes)
Iteracoes 11600000: pi ~= 3.141592567383, pi = 3.141592653590, diferenca absoluta = 8.620657565572e-08, tempo medio = 31.027035 ms (1 execucoes)
Iteracoes 11700000: pi ~= 3.141592568120, pi = 3.141592653590, diferenca absoluta = 8.546974372692e-08, tempo medio = 31.309603 ms (1 execucoes)
Iteracoes 11800000: pi ~= 3.141592568844, pi = 3.141592653590, diferenca absoluta = 8.474548662818e-08, tempo medio = 31.593856 ms (1 execucoes)
Iteracoes 11900000: pi ~= 3.141592569556, pi = 3.141592653590, diferenca absoluta = 8.403332563134e-08, tempo medio = 31.884709 ms (1 execucoes)
Iteracoes 12000000: pi ~= 3.141592570257, pi = 3.141592653590, diferenca absoluta = 8.333306444896e-08, tempo medio = 32.048741 ms (1 execucoes)
Iteracoes 12100000: pi ~= 3.141592570945, pi = 3.141592653590, diferenca absoluta = 8.264439754768e-08, tempo medio = 32.409719 ms (1 execucoes)
Iteracoes 12200000: pi ~= 3.141592571623, pi = 3.141592653590, diferenca absoluta = 8.196705580943e-08, tempo medio = 32.728656 ms (1 execucoes)
Iteracoes 12300000: pi ~= 3.141592572289, pi = 3.141592653590, diferenca absoluta = 8.130068573919e-08, tempo medio = 33.513872 ms (1 execucoes)
Iteracoes 12400000: pi ~= 3.141592572945, pi = 3.141592653590, diferenca absoluta = 8.064503997929e-08, tempo medio = 33.314102 ms (1 execucoes)
Iteracoes 12500000: pi ~= 3.141592573590, pi = 3.141592653590, diferenca absoluta = 7.999991424867e-08, tempo medio = 33.560210 ms (1 execucoes)
Iteracoes 12600000: pi ~= 3.141592574225, pi = 3.141592653590, diferenca absoluta = 7.936507939732e-08, tempo medio = 33.720475 ms (1 execucoes)
Iteracoes 12700000: pi ~= 3.141592574850, pi = 3.141592653590, diferenca absoluta = 7.874015928167e-08, tempo medio = 33.969099 ms (1 execucoes)
Iteracoes 12800000: pi ~= 3.141592575465, pi = 3.141592653590, diferenca absoluta = 7.812497493376e-08, tempo medio = 34.203785 ms (1 execucoes)
Iteracoes 12900000: pi ~= 3.141592576070, pi = 3.141592653590, diferenca absoluta = 7.751932518119e-08, tempo medio = 34.458821 ms (1 execucoes)
Iteracoes 13000000: pi ~= 3.141592576667, pi = 3.141592653590, diferenca absoluta = 7.692300130202e-08, tempo medio = 34.740849 ms (1 execucoes)
Iteracoes 13100000: pi ~= 3.141592577254, pi = 3.141592653590, diferenca absoluta = 7.633577370214e-08, tempo medio = 35.016012 ms (1 execucoes)
Iteracoes 13200000: pi ~= 3.141592577832, pi = 3.141592653590, diferenca absoluta = 7.575745053501e-08, tempo medio = 35.231093 ms (1 execucoes)
Iteracoes 13300000: pi ~= 3.141592578402, pi = 3.141592653590, diferenca absoluta = 7.518779687743e-08, tempo medio = 35.520744 ms (1 execucoes)
Iteracoes 13400000: pi ~= 3.141592578963, pi = 3.141592653590, diferenca absoluta = 7.462666351543e-08, tempo medio = 35.790519 ms (1 execucoes)
Iteracoes 13500000: pi ~= 3.141592579516, pi = 3.141592653590, diferenca absoluta = 7.407385282932e-08, tempo medio = 36.542826 ms (1 execucoes)
Iteracoes 13600000: pi ~= 3.141592580061, pi = 3.141592653590, diferenca absoluta = 7.352923514503e-08, tempo medio = 36.329895 ms (1 execucoes)
Iteracoes 13700000: pi ~= 3.141592580597, pi = 3.141592653590, diferenca absoluta = 7.299254356496e-08, tempo medio = 36.590191 ms (1 execucoes)
Iteracoes 13800000: pi ~= 3.141592581126, pi = 3.141592653590, diferenca absoluta = 7.246363242785e-08, tempo medio = 36.919108 ms (1 execucoes)
Iteracoes 13900000: pi ~= 3.141592581647, pi = 3.141592653590, diferenca absoluta = 7.194229789675e-08, tempo medio = 37.152793 ms (1 execucoes)
Iteracoes 14000000: pi ~= 3.141592582161, pi = 3.141592653590, diferenca absoluta = 7.142843250207e-08, tempo medio = 37.386548 ms (1 execucoes)
Iteracoes 14100000: pi ~= 3.141592582668, pi = 3.141592653590, diferenca absoluta = 7.092181908419e-08, tempo medio = 37.712860 ms (1 execucoes)
Iteracoes 14200000: pi ~= 3.141592583167, pi = 3.141592653590, diferenca absoluta = 7.042247851530e-08, tempo medio = 37.898733 ms (1 execucoes)
Iteracoes 14300000: pi ~= 3.141592583660, pi = 3.141592653590, diferenca absoluta = 6.993001289146e-08, tempo medio = 38.210838 ms (1 execucoes)
Iteracoes 14400000: pi ~= 3.141592584145, pi = 3.141592653590, diferenca absoluta = 6.944438268874e-08, tempo medio = 38.437631 ms (1 execucoes)
Iteracoes 14500000: pi ~= 3.141592584624, pi = 3.141592653590, diferenca absoluta = 6.896540405421e-08, tempo medio = 38.760143 ms (1 execucoes)
Iteracoes 14600000: pi ~= 3.141592585097, pi = 3.141592653590, diferenca absoluta = 6.849301437128e-08, tempo medio = 39.242843 ms (1 execucoes)
Iteracoes 14700000: pi ~= 3.141592585563, pi = 3.141592653590, diferenca absoluta = 6.802705820874e-08, tempo medio = 39.838158 ms (1 execucoes)
Iteracoes 14800000: pi ~= 3.141592586022, pi = 3.141592653590, diferenca absoluta = 6.756739834302e-08, tempo medio = 39.763265 ms (1 execucoes)
